scenario,modelID,gridTag,tree_length,gain_loss,n_char,part_rate,median_cid,iqr_cid,n_reps
mk,M1 (Mk baseline),tl1.00_gl0.10_c100,1,0.1,100,NA,0.2666642063335943,0.06408307566569946,50
mk,M2,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2690181395183373,0.09806373496029108,10
mk,M11,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2598559330299321,0.09171128806079165,10
mk,M10,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2697723006762066,0.09530471003144092,10
mk,M6,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2688322581724435,0.0931928126633349,10
mk,M7,tl1.00_gl0.10_c100,1,0.1,100,NA,0.26906328355322484,0.09683469340157538,10
mk,M4,tl1.00_gl0.10_c100,1,0.1,100,NA,0.26802352842516797,0.09645635714641751,10
mk,M3,tl1.00_gl0.10_c100,1,0.1,100,NA,0.26639808643037544,0.09821745737393284,10
mk,M5,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2686821756310094,0.09377755513732008,10
mk,M9,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2695738971639583,0.09414045807391425,10
mk,M12,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2605513795373854,0.090608334079925,10
mk,M8 (NT baseline),tl1.00_gl0.10_c100,1,0.1,100,NA,0.2678323114385139,0.09276101173482643,10
mk,M5,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19789019902822647,0.06281752240407068,10
mk,M9,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19797943633707477,0.060541963786396064,10
mk,M1 (Mk baseline),tl1.00_gl0.10_c200,1,0.1,200,NA,0.17365407223839938,0.04936379527593429,50
mk,M10,tl1.00_gl0.10_c200,1,0.1,200,NA,0.196644970377018,0.0630102490795566,10
mk,M8 (NT baseline),tl1.00_gl0.10_c200,1,0.1,200,NA,0.1976061194945384,0.06261264495264987,10
mk,M3,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19802216198271,0.06048672815076572,10
mk,M6,tl1.00_gl0.10_c200,1,0.1,200,NA,0.1984403843939444,0.06159944753394153,10
mk,M2,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19817605786293854,0.06037866351024243,10
mk,M12,tl1.00_gl0.10_c200,1,0.1,200,NA,0.199528677215137,0.050749487674913885,9
mk,M11,tl1.00_gl0.10_c200,1,0.1,200,NA,0.17985327669909185,0.05797264256456744,10
mk,M4,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19832123986395533,0.061215818021872676,10
mk,M7,tl1.00_gl0.10_c200,1,0.1,200,NA,0.195782894800952,0.04543665867568855,9
mk,M1 (Mk baseline),tl1.00_gl0.10_c25,1,0.1,25,NA,0.5349029905948726,0.09106061040102459,49
mk,M3,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5430628637492112,0.06049362018676363,10
mk,M5,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5449934595126777,0.05916960234267099,10
mk,M4,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5427246096563696,0.06582771601497495,10
mk,M7,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5420566248844927,0.06504498796976976,10
mk,M8 (NT baseline),tl1.00_gl0.10_c25,1,0.1,25,NA,0.5418487868550409,0.06618632541017322,10
mk,M9,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5426926893462436,0.06671204612537474,10
mk,M6,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5449728733763436,0.06647750300511746,10
mk,M12,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5350142299182477,0.06583045055229864,10
mk,M11,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5281509374259394,0.053068820788150894,9
mk,M2,tl1.00_gl0.10_c25,1,0.1,25,NA,0.541687158020391,0.06559107079288551,10
mk,M10,tl1.00_gl0.10_c25,1,0.1,25,NA,0.542360176025558,0.06455199972268544,10
mk,M6,tl1.00_gl0.10_c50,1,0.1,50,NA,0.38990550425420667,0.05021282120999171,10
mk,M4,tl1.00_gl0.10_c50,1,0.1,50,NA,0.3854376681885849,0.05195064849731701,10
mk,M9,tl1.00_gl0.10_c50,1,0.1,50,NA,0.38823894752735605,0.050523634784991944,10
mk,M2,tl1.00_gl0.10_c50,1,0.1,50,NA,0.3881951652360411,0.05125253520824008,10
mk,M1 (Mk baseline),tl1.00_gl0.10_c50,1,0.1,50,NA,0.3883581648908468,0.06463784504012626,50
mk,M10,tl1.00_gl0.10_c50,1,0.1,50,NA,0.3866148534299437,0.0503681495264241,10
mk,M7,tl1.00_gl0.10_c50,1,0.1,50,NA,0.38996827345409035,0.052341571877588144,10
mk,M11,tl1.00_gl0.10_c50,1,0.1,50,NA,0.35398437677147276,0.05600082431619663,10
mk,M12,tl1.00_gl0.10_c50,1,0.1,50,NA,0.38046358829327576,0.05967851999159274,10
mk,M8 (NT baseline),tl1.00_gl0.10_c50,1,0.1,50,NA,0.3865788320441381,0.049590778455673334,10
mk,M3,tl1.00_gl0.10_c50,1,0.1,50,NA,0.38697677244093825,0.04845988898040565,10
mk,M5,tl1.00_gl0.10_c50,1,0.1,50,NA,0.3837942321255861,0.05180363267930349,10
mk,M2,tl1.00_gl0.25_c100,1,0.25,100,NA,0.2690181395183373,0.09806373496029108,10
mk,M8 (NT baseline),tl1.00_gl0.25_c100,1,0.25,100,NA,0.2678323114385139,0.09276101173482643,10
mk,M6,tl1.00_gl0.25_c100,1,0.25,100,NA,0.26898428521804996,0.0931928126633349,10
mk,M7,tl1.00_gl0.25_c100,1,0.25,100,NA,0.26906328355322484,0.09683469340157538,10
mk,M9,tl1.00_gl0.25_c100,1,0.25,100,NA,0.2695738971639583,0.09414045807391425,10
mk,M12,tl1.00_gl0.25_c100,1,0.25,100,NA,0.26043072977573567,0.09062004167879367,10
mk,M5,tl1.00_gl0.25_c100,1,0.25,100,NA,0.2686821756310094,0.09377755513732008,10
